NVDA,Nvidia Corporation,Information Technology,Semiconductors,,12.8
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,11.29
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,48
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,69.650002
STT,State Street Corp.,Financials,Diversified Financial Services,,66.949997
GILD,Gilead Sciences,Health Care,Biotechnology,,105.209999
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,77.919998
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,63.669998
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,384.48999
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,52.950001
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,47.7999992
STT,State Street Corp.,Financials,Diversified Financial Services,,69.449997
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,50.75
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,28.709999
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,118.199997
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,77.82
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,7.32000014285
GILD,Gilead Sciences,Health Care,Biotechnology,,74.07
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,86.739998
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,32.43
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,209.229996
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,19.25
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,61.299999
STT,State Street Corp.,Financials,Diversified Financial Services,,79.160004
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,24.629999
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,32.669998
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,219.899994
